strace: option requires an argument -- 'p'
Try 'strace -h' for more information.
Picked up JAVA_TOOL_OPTIONS:  -javaagent:/home/elastic/elastic-apm-agent-1.30.1.jar -Delastic.apm.log_ecs_reformatting=OVERRIDE
[pid   209] 1652626339.871803 stat("/app/javax/jms/Message.class", 0x7feb570d8ae0) = -1 ENOENT (No such file or directory) <0.000030>
[pid   209] 1652626339.872182 stat("/app/javax/faces/lifecycle/Lifecycle.class", 0x7feb570d8ae0) = -1 ENOENT (No such file or directory) <0.000030>
[pid   209] 1652626339.872576 stat("/app/javax/faces/lifecycle/Lifecycle.class", 0x7feb570d8ae0) = -1 ENOENT (No such file or directory) <0.000031>
[pid   209] 1652626339.872945 stat("/app/jakarta/faces/lifecycle/Lifecycle.class", 0x7feb570d8ae0) = -1 ENOENT (No such file or directory) <0.000030>
[pid   209] 1652626339.873316 stat("/app/jakarta/faces/lifecycle/Lifecycle.class", 0x7feb570d8ae0) = -1 ENOENT (No such file or directory) <0.000030>
[pid   209] 1652626339.873716 stat("/app/org/apache/kafka/clients/consumer/ConsumerRecord.class", 0x7feb570d8ae0) = -1 ENOENT (No such file or directory) <0.000031>
[pid   209] 1652626339.874099 stat("/app/org/apache/kafka/clients/consumer/ConsumerRecord.class", 0x7feb570d8ae0) = -1 ENOENT (No such file or directory) <0.000031>
[pid   209] 1652626339.874475 stat("/app/org/apache/kafka/clients/consumer/ConsumerRecord.class", 0x7feb570d8ae0) = -1 ENOENT (No such file or directory) <0.000031>
[pid   209] 1652626339.874856 stat("/app/org/apache/kafka/clients/consumer/ConsumerRecord.class", 0x7feb570d8ae0) = -1 ENOENT (No such file or directory) <0.000031>
[pid   209] 1652626339.875237 stat("/app/org/apache/kafka/clients/consumer/ConsumerRecord.class", 0x7feb570d8ae0) = -1 ENOENT (No such file or directory) <0.000031>
[pid   209] 1652626339.875620 stat("/app/org/apache/kafka/clients/consumer/ConsumerRecord.class", 0x7feb570d8ae0) = -1 ENOENT (No such file or directory) <0.000031>
[pid   209] 1652626339.875996 stat("/app/com/lambdaworks/redis/event/EventBus.class", 0x7feb570d8ae0) = -1 ENOENT (No such file or directory) <0.000031>
[pid   209] 1652626339.876393 stat("/app/com/lambdaworks/redis/api/sync/RedisServerCommands.class", 0x7feb570d8ae0) = -1 ENOENT (No such file or directory) <0.000031>
[pid   209] 1652626339.876765 stat("/app/com/lambdaworks/redis/event/EventBus.class", 0x7feb570d8ae0) = -1 ENOENT (No such file or directory) <0.000031>
[pid   209] 1652626339.877138 stat("/app/com/lambdaworks/redis/api/sync/RedisServerCommands.class", 0x7feb570d8ae0) = -1 ENOENT (No such file or directory) <0.000032>
